teX,teY,xy,xny,nxy,nxny
T1047,T1046,17,75,31,632
T1047,T1518,36,56,83,580
T1047,T1538,0,92,0,663
T1047,T1622,1,91,4,659
T1047,T1052,1,91,6,657
T1047,T1105,61,31,336,327
T1047,T1648,0,92,0,663
T1047,T1484,4,88,3,660
T1047,T1220,2,90,2,661
T1047,T1587,4,88,10,653
T1047,T1008,13,79,35,628
T1047,T1124,17,75,51,612
T1047,T1556,3,89,8,655
T1047,T1495,0,92,2,661
T1047,T1490,13,79,16,647
T1047,T1216,1,91,0,663
T1047,T1211,0,92,1,662
T1047,T1127,1,91,1,662
T1047,T1529,4,88,9,654
T1113,T1037,5,131,7,612
T1113,T1557,2,134,8,611
T1113,T1033,59,77,123,496
T1113,T1583,6,130,31,588
T1113,T1613,0,136,3,616
T1113,T1592,0,136,3,616
T1113,T1003,20,116,67,552
T1113,T1129,5,131,11,608
T1113,T1602,0,136,0,619
T1113,T1006,0,136,0,619
T1113,T1014,3,133,22,597
T1113,T1123,24,112,4,615
T1113,T1543,36,100,100,519
T1113,T1133,4,132,19,600
T1113,T1539,4,132,6,613
T1113,T1578,0,136,1,618
T1113,T1069,8,128,39,580
T1113,T1114,9,127,18,601
T1113,T1594,0,136,4,615
T1113,T1561,1,135,11,608
T1113,T1615,1,135,3,616
T1113,T1025,15,121,7,612
T1113,T1547,76,60,163,456
T1113,T1600,0,136,0,619
T1113,T1489,3,133,25,594
T1113,T1564,29,107,71,548
T1113,T1080,5,131,5,614
T1113,T1137,5,131,5,614
T1113,T1119,21,115,29,590
T1113,T1115,24,112,9,610
T1113,T1007,15,121,41,578
T1113,T1040,2,134,13,606
T1113,T1530,0,136,2,617
T1113,T1135,12,124,36,583
T1113,T1120,24,112,19,600
T1113,T1082,90,46,240,379
T1113,T1071,80,56,253,366
T1113,T1053,37,99,107,512
T1113,T1176,0,136,4,615
T1113,T1106,38,98,110,509
T1113,T1202,1,135,2,617
T1113,T1091,9,127,13,606
T1113,T1005,45,91,116,503
T1113,T1140,48,88,170,449
T1113,T1562,17,119,80,539
T1113,T1195,3,133,8,611
T1113,T1190,7,129,21,598
T1113,T1558,4,132,6,613
T1113,T1555,35,101,52,567
T1113,T1567,8,128,20,599
T1113,T1219,4,132,14,605
T1113,T1036,41,95,175,444
T1113,T1552,12,124,29,590
T1113,T1055,44,92,95,524
T1113,T1205,0,136,9,610
T1113,T1218,34,102,97,522
T1113,T1620,2,134,8,611
T1113,T1611,0,136,5,614
T1113,T1010,16,120,13,606
T1113,T1029,6,130,11,608
T1113,T1525,0,136,0,619
T1113,T1572,3,133,15,604
T1113,T1550,5,131,15,604
T1113,T1011,1,135,0,619
T1113,T1589,3,133,14,605
T1113,T1560,38,98,82,537
T1113,T1185,5,131,6,613
T1113,T1021,22,114,64,555
T1113,T1596,0,136,0,619
T1113,T1207,0,136,1,618
T1113,T1610,0,136,4,615
T1113,T1112,39,97,93,526
T1113,T1580,0,136,0,619
T1113,T1491,1,135,4,615
T1113,T1535,0,136,0,619
T1113,T1563,0,136,2,617
T1113,T1217,3,133,9,610
T1113,T1092,2,134,1,618
T1113,T1222,1,135,18,601
T1113,T1595,3,133,6,613
T1113,T1548,16,120,38,581
T1113,T1125,25,111,6,613
T1113,T1016,54,82,173,446
T1113,T1087,19,117,62,557
T1113,T1090,22,114,70,549
T1113,T1059,95,41,333,286
T1113,T1482,2,134,12,607
T1113,T1020,8,128,12,607
T1113,T1070,73,63,196,423
T1113,T1609,0,136,5,614
T1113,T1083,86,50,187,432
T1113,T1568,7,129,32,587
T1113,T1647,1,135,0,619
T1113,T1074,30,106,61,558
T1113,T1649,0,136,3,616
T1113,T1049,22,114,57,562
T1113,T1584,2,134,12,607
T1113,T1542,3,133,11,608
T1113,T1612,0,136,0,619
T1113,T1586,2,134,5,614
T1113,T1497,28,108,57,562
T1113,T1102,25,111,64,555
T1113,T1608,2,134,15,604
T1113,T1104,2,134,7,612
T1113,T1480,2,134,14,605
T1113,T1619,0,136,1,618
T1113,T1528,1,135,2,617
T1113,T1204,29,107,127,492
T1113,T1057,73,63,161,458
T1113,T1072,1,135,3,616
T1113,T1041,43,93,88,531
T1113,T1591,1,135,5,614
T1113,T1606,0,136,2,617
T1113,T1621,0,136,2,617
T1113,T1554,1,135,6,613
T1113,T1212,0,136,0,619
T1113,T1590,0,136,4,615
T1113,T1210,7,129,16,603
T1113,T1534,1,135,4,615
T1113,T1199,2,134,6,613
T1113,T1593,0,136,5,614
T1113,T1098,5,131,13,606
T1113,T1048,9,127,25,594
T1113,T1597,0,136,2,617
T1113,T1566,26,110,104,515
T1113,T1110,4,132,36,583
T1113,T1565,1,135,4,615
T1113,T1559,13,123,18,601
T1113,T1001,11,125,29,590
T1113,T1039,6,130,5,614
T1113,T1601,0,136,1,618
T1113,T1574,23,113,57,562
T1113,T1078,7,129,54,565
T1113,T1571,11,125,26,593
T1113,T1068,8,128,23,596
T1113,T1531,0,136,4,615
T1113,T1027,78,58,287,332
T1113,T1201,1,135,7,612
T1113,T1546,10,126,38,581
T1113,T1187,1,135,2,617
T1113,T1599,0,136,0,619
T1113,T1486,2,134,40,579
T1113,T1553,12,124,57,562
T1113,T1573,49,87,132,487
T1113,T1056,80,56,65,554
T1113,T1203,8,128,40,579
T1113,T1570,1,135,22,597
T1113,T1095,16,120,46,573
T1113,T1012,33,103,63,556
T1113,T1030,6,130,8,611
T1113,T1499,1,135,3,616
T1113,T1614,5,131,25,594
T1113,T1197,3,133,9,610
T1113,T1132,29,107,73,546
T1113,T1598,4,132,9,610
T1113,T1496,0,136,12,607
T1113,T1585,1,135,13,606
T1113,T1588,7,129,55,564
T1113,T1569,15,121,43,576
T1113,T1213,1,135,9,610
T1113,T1200,0,136,1,618
T1113,T1505,5,131,27,592
T1113,T1485,4,132,19,600
T1113,T1537,0,136,0,619
T1113,T1189,6,130,28,591
T1113,T1498,1,135,1,618
T1113,T1221,4,132,6,613
T1113,T1134,14,122,26,593
T1113,T1111,0,136,4,615
T1113,T1136,9,127,22,597
T1113,T1526,0,136,2,617
T1113,T1018,10,126,59,560
T1113,T1046,10,126,38,581
T1113,T1518,37,99,82,537
T1113,T1538,0,136,0,619
T1113,T1622,1,135,4,615
T1113,T1052,1,135,6,613
T1113,T1105,95,41,302,317
T1113,T1648,0,136,0,619
T1113,T1484,1,135,6,613
T1113,T1220,0,136,4,615
T1113,T1587,1,135,13,606
T1113,T1008,17,119,31,588
T1113,T1124,21,115,47,572
T1113,T1556,1,135,10,609
T1113,T1495,0,136,2,617
T1113,T1490,1,135,28,591
T1113,T1216,0,136,1,618
T1113,T1211,1,135,0,619
T1113,T1127,2,134,0,619
T1113,T1529,1,135,12,607
T1037,T1557,0,12,10,733
T1037,T1033,1,11,181,562
T1037,T1583,1,11,36,707
T1037,T1613,0,12,3,740
T1037,T1592,0,12,3,740
T1037,T1003,1,11,86,657
T1037,T1129,1,11,15,728
T1037,T1602,0,12,0,743
T1037,T1006,0,12,0,743
T1037,T1014,3,9,22,721
T1037,T1123,2,10,26,717
T1037,T1543,5,7,131,612
T1037,T1133,1,11,22,721
T1037,T1539,0,12,10,733
T1037,T1578,0,12,1,742
T1037,T1069,0,12,47,696
T1037,T1114,2,10,25,718
T1037,T1594,0,12,4,739
T1037,T1561,0,12,12,731
T1037,T1615,0,12,4,739
T1037,T1025,1,11,21,722
T1037,T1547,6,6,233,510
T1037,T1600,0,12,0,743
T1037,T1489,0,12,28,715
T1037,T1564,4,8,96,647
T1037,T1080,0,12,10,733
T1037,T1137,1,11,9,734
T1037,T1119,3,9,47,696
T1037,T1115,3,9,30,713
T1037,T1007,1,11,55,688
T1037,T1040,1,11,14,729
T1037,T1530,0,12,2,741
T1037,T1135,1,11,47,696
T1037,T1120,4,8,39,704
T1037,T1082,8,4,322,421
T1037,T1071,9,3,324,419
T1037,T1053,5,7,139,604
T1037,T1176,0,12,4,739
T1037,T1106,2,10,146,597
T1037,T1202,0,12,3,740
T1037,T1091,1,11,21,722
T1037,T1005,4,8,157,586
T1037,T1140,7,5,211,532
T1037,T1562,2,10,95,648
T1037,T1195,1,11,10,733
T1037,T1190,2,10,26,717
T1037,T1558,0,12,10,733
T1037,T1555,5,7,82,661
T1037,T1567,1,11,27,716
T1037,T1219,1,11,17,726
T1037,T1036,6,6,210,533
T1037,T1552,2,10,39,704
T1037,T1055,4,8,135,608
T1037,T1205,0,12,9,734
T1037,T1218,4,8,127,616
T1037,T1620,0,12,10,733
T1037,T1611,0,12,5,738
T1037,T1010,1,11,28,715
T1037,T1029,1,11,16,727
T1037,T1525,0,12,0,743
T1037,T1572,2,10,16,727
T1037,T1550,1,11,19,724
T1037,T1011,0,12,1,742
T1037,T1589,1,11,16,727
T1037,T1560,4,8,116,627
T1037,T1185,0,12,11,732
T1037,T1021,4,8,82,661
T1037,T1596,0,12,0,743
T1037,T1207,0,12,1,742
T1037,T1610,0,12,4,739
T1037,T1112,1,11,131,612
