teX,teY,xy,xny,nxy,nxny
T1539,T1518,7,3,112,633
T1539,T1538,0,10,0,745
T1539,T1622,0,10,5,740
T1539,T1052,0,10,7,738
T1539,T1105,9,1,388,357
T1539,T1648,0,10,0,745
T1539,T1484,1,9,6,739
T1539,T1220,0,10,4,741
T1539,T1587,1,9,13,732
T1539,T1008,0,10,48,697
T1539,T1124,4,6,64,681
T1539,T1556,1,9,10,735
T1539,T1495,0,10,2,743
T1539,T1490,0,10,29,716
T1539,T1216,0,10,1,744
T1539,T1211,0,10,1,744
T1539,T1127,0,10,2,743
T1539,T1529,0,10,13,732
T1578,T1069,1,0,46,708
T1578,T1114,1,0,26,728
T1578,T1594,0,1,4,750
T1578,T1561,0,1,12,742
T1578,T1615,0,1,4,750
T1578,T1025,0,1,22,732
T1578,T1547,0,1,239,515
T1578,T1600,0,1,0,754
T1578,T1489,0,1,28,726
T1578,T1564,0,1,100,654
T1578,T1080,0,1,10,744
T1578,T1137,0,1,10,744
T1578,T1119,0,1,50,704
T1578,T1115,0,1,33,721
T1578,T1007,0,1,56,698
T1578,T1040,0,1,15,739
T1578,T1530,0,1,2,752
T1578,T1135,0,1,48,706
T1578,T1120,0,1,43,711
T1578,T1082,0,1,330,424
T1578,T1071,0,1,333,421
T1578,T1053,0,1,144,610
T1578,T1176,0,1,4,750
T1578,T1106,0,1,148,606
T1578,T1202,0,1,3,751
T1578,T1091,0,1,22,732
T1578,T1005,1,0,160,594
T1578,T1140,0,1,218,536
T1578,T1562,0,1,97,657
T1578,T1195,0,1,11,743
T1578,T1190,0,1,28,726
T1578,T1558,0,1,10,744
T1578,T1555,1,0,86,668
T1578,T1567,0,1,28,726
T1578,T1219,0,1,18,736
T1578,T1036,0,1,216,538
T1578,T1552,0,1,41,713
T1578,T1055,0,1,139,615
T1578,T1205,0,1,9,745
T1578,T1218,0,1,131,623
T1578,T1620,0,1,10,744
T1578,T1611,0,1,5,749
T1578,T1010,0,1,29,725
T1578,T1029,0,1,17,737
T1578,T1525,0,1,0,754
T1578,T1572,0,1,18,736
T1578,T1550,0,1,20,734
T1578,T1011,0,1,1,753
T1578,T1589,1,0,16,738
T1578,T1560,0,1,120,634
T1578,T1185,0,1,11,743
T1578,T1021,0,1,86,668
T1578,T1596,0,1,0,754
T1578,T1207,0,1,1,753
T1578,T1610,0,1,4,750
T1578,T1112,0,1,132,622
T1578,T1580,0,1,0,754
T1578,T1491,0,1,5,749
T1578,T1535,0,1,0,754
T1578,T1563,0,1,2,752
T1578,T1217,0,1,12,742
T1578,T1092,0,1,3,751
T1578,T1222,0,1,19,735
T1578,T1595,0,1,9,745
T1578,T1548,0,1,54,700
T1578,T1125,0,1,31,723
T1578,T1016,0,1,227,527
T1578,T1087,1,0,80,674
T1578,T1090,1,0,91,663
T1578,T1059,0,1,428,326
T1578,T1482,0,1,14,740
T1578,T1020,0,1,20,734
T1578,T1070,0,1,269,485
T1578,T1609,0,1,5,749
T1578,T1083,0,1,273,481
T1578,T1568,0,1,39,715
T1578,T1647,0,1,1,753
T1578,T1074,0,1,91,663
T1578,T1649,0,1,3,751
T1578,T1049,0,1,79,675
T1578,T1584,0,1,14,740
T1578,T1542,0,1,14,740
T1578,T1612,0,1,0,754
T1578,T1586,0,1,7,747
T1578,T1497,0,1,85,669
T1578,T1102,0,1,89,665
T1578,T1608,0,1,17,737
T1578,T1104,0,1,9,745
T1578,T1480,0,1,16,738
T1578,T1619,0,1,1,753
T1578,T1528,0,1,3,751
T1578,T1204,1,0,155,599
T1578,T1057,0,1,234,520
T1578,T1072,0,1,4,750
T1578,T1041,0,1,131,623
T1578,T1591,1,0,5,749
T1578,T1606,0,1,2,752
T1578,T1621,1,0,1,753
T1578,T1554,0,1,7,747
T1578,T1212,0,1,0,754
T1578,T1590,0,1,4,750
T1578,T1210,0,1,23,731
T1578,T1534,0,1,5,749
T1578,T1199,1,0,7,747
T1578,T1593,1,0,4,750
T1578,T1098,1,0,17,737
T1578,T1048,0,1,34,720
T1578,T1597,1,0,1,753
T1578,T1566,0,1,130,624
T1578,T1110,0,1,40,714
T1578,T1565,0,1,5,749
T1578,T1559,0,1,31,723
T1578,T1001,0,1,40,714
T1578,T1039,0,1,11,743
T1578,T1601,0,1,1,753
T1578,T1574,0,1,80,674
T1578,T1078,1,0,60,694
T1578,T1571,0,1,37,717
T1578,T1068,1,0,30,724
T1578,T1531,1,0,3,751
T1578,T1027,0,1,365,389
T1578,T1201,0,1,8,746
T1578,T1546,0,1,48,706
T1578,T1187,0,1,3,751
T1578,T1599,0,1,0,754
T1578,T1486,0,1,42,712
T1578,T1553,0,1,69,685
T1578,T1573,0,1,181,573
T1578,T1056,0,1,145,609
T1578,T1203,0,1,48,706
T1578,T1570,0,1,23,731
T1578,T1095,0,1,62,692
T1578,T1012,0,1,96,658
T1578,T1030,0,1,14,740
T1578,T1499,0,1,4,750
T1578,T1614,0,1,30,724
T1578,T1197,0,1,12,742
T1578,T1132,0,1,102,652
T1578,T1598,0,1,13,741
T1578,T1496,0,1,12,742
T1578,T1585,0,1,14,740
T1578,T1588,1,0,61,693
T1578,T1569,0,1,58,696
T1578,T1213,1,0,9,745
T1578,T1200,0,1,1,753
T1578,T1505,0,1,32,722
T1578,T1485,1,0,22,732
T1578,T1537,0,1,0,754
T1578,T1189,0,1,34,720
T1578,T1498,0,1,2,752
T1578,T1221,0,1,10,744
T1578,T1134,0,1,40,714
T1578,T1111,1,0,3,751
T1578,T1136,1,0,30,724
T1578,T1526,0,1,2,752
T1578,T1018,0,1,69,685
T1578,T1046,0,1,48,706
T1578,T1518,0,1,119,635
T1578,T1538,0,1,0,754
T1578,T1622,0,1,5,749
T1578,T1052,0,1,7,747
T1578,T1105,0,1,397,357
T1578,T1648,0,1,0,754
T1578,T1484,0,1,7,747
T1578,T1220,0,1,4,750
T1578,T1587,0,1,14,740
T1578,T1008,0,1,48,706
T1578,T1124,0,1,68,686
T1578,T1556,0,1,11,743
T1578,T1495,0,1,2,752
T1578,T1490,0,1,29,725
T1578,T1216,0,1,1,753
T1578,T1211,0,1,1,753
T1578,T1127,0,1,2,752
T1578,T1529,0,1,13,741
T1069,T1114,6,41,21,687
T1069,T1594,0,47,4,704
T1069,T1561,0,47,12,696
T1069,T1615,3,44,1,707
T1069,T1025,1,46,21,687
T1069,T1547,16,31,223,485
T1069,T1600,0,47,0,708
T1069,T1489,1,46,27,681
T1069,T1564,4,43,96,612
T1069,T1080,0,47,10,698
T1069,T1137,2,45,8,700
T1069,T1119,7,40,43,665
T1069,T1115,2,45,31,677
T1069,T1007,16,31,40,668
T1069,T1040,1,46,14,694
T1069,T1530,0,47,2,706
T1069,T1135,13,34,35,673
T1069,T1120,4,43,39,669
T1069,T1082,32,15,298,410
T1069,T1071,29,18,304,404
T1069,T1053,16,31,128,580
T1069,T1176,0,47,4,704
T1069,T1106,14,33,134,574
T1069,T1202,0,47,3,705
T1069,T1091,1,46,21,687
T1069,T1005,15,32,146,562
T1069,T1140,15,32,203,505
T1069,T1562,11,36,86,622
T1069,T1195,2,45,9,699
T1069,T1190,5,42,23,685
T1069,T1558,4,43,6,702
T1069,T1555,12,35,75,633
T1069,T1567,3,44,25,683
T1069,T1219,2,45,16,692
T1069,T1036,13,34,203,505
T1069,T1552,8,39,33,675
T1069,T1055,15,32,124,584
T1069,T1205,0,47,9,699
T1069,T1218,12,35,119,589
T1069,T1620,1,46,9,699
T1069,T1611,1,46,4,704
T1069,T1010,5,42,24,684
T1069,T1029,3,44,14,694
T1069,T1525,0,47,0,708
T1069,T1572,4,43,14,694
T1069,T1550,5,42,15,693
T1069,T1011,0,47,1,707
T1069,T1589,5,42,12,696
T1069,T1560,10,37,110,598
T1069,T1185,4,43,7,701
T1069,T1021,13,34,73,635
T1069,T1596,0,47,0,708
T1069,T1207,0,47,1,707
T1069,T1610,0,47,4,704
T1069,T1112,11,36,121,587
T1069,T1580,0,47,0,708
T1069,T1491,0,47,5,703
T1069,T1535,0,47,0,708
T1069,T1563,0,47,2,706
T1069,T1217,1,46,11,697
T1069,T1092,0,47,3,705
T1069,T1222,1,46,18,690
T1069,T1595,2,45,7,701
T1069,T1548,4,43,50,658
T1069,T1125,1,46,30,678
T1069,T1016,29,18,198,510
T1069,T1087,30,17,51,657
T1069,T1090,12,35,80,628
T1069,T1059,34,13,394,314
T1069,T1482,8,39,6,702
T1069,T1020,2,45,18,690
T1069,T1070,16,31,253,455
T1069,T1609,1,46,4,704
T1069,T1083,23,24,250,458
T1069,T1568,3,44,36,672
T1069,T1647,0,47,1,707
T1069,T1074,8,39,83,625
T1069,T1649,2,45,1,707
T1069,T1049,20,27,59,649
T1069,T1584,3,44,11,697
T1069,T1542,1,46,13,695
T1069,T1612,0,47,0,708
T1069,T1586,2,45,5,703
T1069,T1497,4,43,81,627
T1069,T1102,6,41,83,625
T1069,T1608,3,44,14,694
T1069,T1104,1,46,8,700
T1069,T1480,0,47,16,692
T1069,T1619,0,47,1,707
T1069,T1528,1,46,2,706
T1069,T1204,16,31,140,568
T1069,T1057,23,24,211,497
T1069,T1072,0,47,4,704
T1069,T1041,11,36,120,588
T1069,T1591,3,44,3,705
T1069,T1606,2,45,0,708
T1069,T1621,2,45,0,708
T1069,T1554,0,47,7,701
T1069,T1212,0,47,0,708
T1069,T1590,1,46,3,705
T1069,T1210,5,42,18,690
T1069,T1534,1,46,4,704
T1069,T1199,2,45,6,702
T1069,T1593,1,46,4,704
T1069,T1098,5,42,13,695
T1069,T1048,3,44,31,677
T1069,T1597,1,46,1,707
T1069,T1566,15,32,115,593
T1069,T1110,12,35,28,680
T1069,T1565,0,47,5,703
T1069,T1559,2,45,29,679
T1069,T1001,4,43,36,672
T1069,T1039,2,45,9,699
T1069,T1601,0,47,1,707
T1069,T1574,4,43,76,632
T1069,T1078,11,36,50,658
T1069,T1571,1,46,36,672
T1069,T1068,7,40,24,684
T1069,T1531,1,46,3,705
T1069,T1027,26,21,339,369
T1069,T1201,8,39,0,708
T1069,T1546,5,42,43,665
T1069,T1187,1,46,2,706
T1069,T1599,0,47,0,708
T1069,T1486,3,44,39,669
T1069,T1553,8,39,61,647
T1069,T1573,15,32,166,542
T1069,T1056,13,34,132,576
T1069,T1203,7,40,41,667
T1069,T1570,2,45,21,687
T1069,T1095,5,42,57,651
T1069,T1012,12,35,84,624
T1069,T1030,2,45,12,696
T1069,T1499,0,47,4,704
T1069,T1614,3,44,27,681
T1069,T1197,3,44,9,699
T1069,T1132,8,39,94,614
T1069,T1598,2,45,11,697
T1069,T1496,0,47,12,696
T1069,T1585,1,46,13,695
T1069,T1588,9,38,53,655
T1069,T1569,5,42,53,655
T1069,T1213,5,42,5,703
T1069,T1200,0,47,1,707
T1069,T1505,4,43,28,680
T1069,T1485,3,44,20,688
T1069,T1537,0,47,0,708
T1069,T1189,3,44,31,677
T1069,T1498,0,47,2,706
T1069,T1221,2,45,8,700
T1069,T1134,6,41,34,674
T1069,T1111,2,45,2,706
T1069,T1136,6,41,25,683
T1069,T1526,2,45,0,708
T1069,T1018,22,25,47,661
T1069,T1046,7,40,41,667
T1069,T1518,12,35,107,601
T1069,T1538,0,47,0,708
T1069,T1622,0,47,5,703
T1069,T1052,0,47,7,701
T1069,T1105,29,18,368,340
T1069,T1648,0,47,0,708
T1069,T1484,3,44,4,704
T1069,T1220,0,47,4,704
T1069,T1587,3,44,11,697
T1069,T1008,4,43,44,664
T1069,T1124,9,38,59,649
T1069,T1556,4,43,7,701
T1069,T1495,1,46,1,707
T1069,T1490,1,46,28,680
T1069,T1216,0,47,1,707
T1069,T1211,0,47,1,707
T1069,T1127,0,47,2,706
T1069,T1529,0,47,13,695
T1114,T1594,2,25,2,726
T1114,T1561,0,27,12,716
T1114,T1615,1,26,3,725
T1114,T1025,3,24,19,709
T1114,T1547,14,13,225,503
T1114,T1600,0,27,0,728
T1114,T1489,0,27,28,700
T1114,T1564,6,21,94,634
T1114,T1080,0,27,10,718
T1114,T1137,1,26,9,719
T1114,T1119,7,20,43,685
T1114,T1115,2,25,31,697
T1114,T1007,4,23,52,676
T1114,T1040,4,23,11,717
T1114,T1530,0,27,2,726
T1114,T1135,6,21,42,686
T1114,T1120,3,24,40,688
T1114,T1082,12,15,318,410
T1114,T1071,21,6,312,416
T1114,T1053,11,16,133,595
T1114,T1176,1,26,3,725
T1114,T1106,4,23,144,584
T1114,T1202,0,27,3,725
T1114,T1091,3,24,19,709
T1114,T1005,14,13,147,581
T1114,T1140,10,17,208,520
T1114,T1562,5,22,92,636
T1114,T1195,2,25,9,719
T1114,T1190,7,20,21,707
T1114,T1558,3,24,7,721
T1114,T1555,13,14,74,654
T1114,T1567,5,22,23,705
T1114,T1219,2,25,16,712
T1114,T1036,11,16,205,523
T1114,T1552,8,19,33,695
T1114,T1055,8,19,131,597
T1114,T1205,0,27,9,719
T1114,T1218,7,20,124,604
T1114,T1620,0,27,10,718
T1114,T1611,0,27,5,723
T1114,T1010,1,26,28,700
T1114,T1029,1,26,16,712
T1114,T1525,0,27,0,728
T1114,T1572,2,25,16,712
T1114,T1550,8,19,12,716
T1114,T1011,0,27,1,727
T1114,T1589,8,19,9,719
T1114,T1560,14,13,106,622
T1114,T1185,1,26,10,718
T1114,T1021,12,15,74,654
T1114,T1596,0,27,0,728
T1114,T1207,0,27,1,727
T1114,T1610,0,27,4,724
T1114,T1112,6,21,126,602
T1114,T1580,0,27,0,728
T1114,T1491,0,27,5,723
T1114,T1535,0,27,0,728
T1114,T1563,0,27,2,726
T1114,T1217,2,25,10,718
T1114,T1092,1,26,2,726
T1114,T1222,0,27,19,709
T1114,T1595,4,23,5,723
T1114,T1548,3,24,51,677
T1114,T1125,3,24,28,700
T1114,T1016,13,14,214,514
T1114,T1087,12,15,69,659
T1114,T1090,5,22,87,641
T1114,T1059,23,4,405,323
T1114,T1482,4,23,10,718
T1114,T1020,4,23,16,712
T1114,T1070,13,14,256,472
T1114,T1609,0,27,5,723
T1114,T1083,15,12,258,470
T1114,T1568,2,25,37,691
T1114,T1647,0,27,1,727
T1114,T1074,8,19,83,645
T1114,T1649,1,26,2,726
T1114,T1049,7,20,72,656
T1114,T1584,5,22,9,719
T1114,T1542,1,26,13,715
T1114,T1612,0,27,0,728
T1114,T1586,4,23,3,725
T1114,T1497,4,23,81,647
T1114,T1102,5,22,84,644
T1114,T1608,3,24,14,714
T1114,T1104,1,26,8,720
T1114,T1480,0,27,16,712
T1114,T1619,0,27,1,727
T1114,T1528,1,26,2,726
T1114,T1204,11,16,145,583
T1114,T1057,14,13,220,508
T1114,T1072,0,27,4,724
T1114,T1041,11,16,120,608
T1114,T1591,3,24,3,725
T1114,T1606,1,26,1,727
T1114,T1621,2,25,0,728
T1114,T1554,0,27,7,721
T1114,T1212,0,27,0,728
T1114,T1590,1,26,3,725
T1114,T1210,5,22,18,710
T1114,T1534,1,26,4,724
T1114,T1199,3,24,5,723
T1114,T1593,2,25,3,725
T1114,T1098,6,21,12,716
T1114,T1048,3,24,31,697
T1114,T1597,1,26,1,727
T1114,T1566,10,17,120,608
T1114,T1110,9,18,31,697
T1114,T1565,1,26,4,724
T1114,T1559,2,25,29,699
T1114,T1001,3,24,37,691
T1114,T1039,3,24,8,720
T1114,T1601,0,27,1,727
T1114,T1574,2,25,78,650
T1114,T1078,12,15,49,679
T1114,T1571,2,25,35,693
T1114,T1068,5,22,26,702
T1114,T1531,1,26,3,725
T1114,T1027,17,10,348,380
T1114,T1201,1,26,7,721
T1114,T1546,5,22,43,685
T1114,T1187,1,26,2,726
T1114,T1599,0,27,0,728
T1114,T1486,0,27,42,686
T1114,T1553,3,24,66,662
T1114,T1573,10,17,171,557
T1114,T1056,12,15,133,595
T1114,T1203,3,24,45,683
T1114,T1570,1,26,22,706
T1114,T1095,4,23,58,670
T1114,T1012,6,21,90,638
T1114,T1030,2,25,12,716
T1114,T1499,0,27,4,724
T1114,T1614,2,25,28,700
T1114,T1197,0,27,12,716
T1114,T1132,5,22,97,631
T1114,T1598,5,22,8,720
T1114,T1496,0,27,12,716
T1114,T1585,4,23,10,718
T1114,T1588,11,16,51,677
T1114,T1569,4,23,54,674
T1114,T1213,5,22,5,723
T1114,T1200,0,27,1,727
T1114,T1505,7,20,25,703
T1114,T1485,1,26,22,706
T1114,T1537,0,27,0,728
T1114,T1189,4,23,30,698
T1114,T1498,1,26,1,727
T1114,T1221,2,25,8,720
T1114,T1134,3,24,37,691
T1114,T1111,3,24,1,727
T1114,T1136,10,17,21,707
T1114,T1526,0,27,2,726
T1114,T1018,6,21,63,665
T1114,T1046,4,23,44,684
T1114,T1518,6,21,113,615
T1114,T1538,0,27,0,728
T1114,T1622,0,27,5,723
T1114,T1052,0,27,7,721
T1114,T1105,17,10,380,348
T1114,T1648,0,27,0,728
T1114,T1484,2,25,5,723
T1114,T1220,0,27,4,724
T1114,T1587,3,24,11,717
T1114,T1008,1,26,47,681
T1114,T1124,3,24,65,663
T1114,T1556,2,25,9,719
T1114,T1495,0,27,2,726
T1114,T1490,0,27,29,699
T1114,T1216,0,27,1,727
T1114,T1211,1,26,0,728
T1114,T1127,1,26,1,727
T1114,T1529,0,27,13,715
T1594,T1561,1,3,11,740
T1594,T1615,0,4,4,747
T1594,T1025,0,4,22,729
T1594,T1547,1,3,238,513
T1594,T1600,0,4,0,751
T1594,T1489,0,4,28,723
T1594,T1564,1,3,99,652
T1594,T1080,0,4,10,741
T1594,T1137,0,4,10,741
T1594,T1119,0,4,50,701
T1594,T1115,0,4,33,718
T1594,T1007,1,3,55,696
T1594,T1040,2,2,13,738
T1594,T1530,0,4,2,749
T1594,T1135,0,4,48,703
T1594,T1120,0,4,43,708
T1594,T1082,2,2,328,423
T1594,T1071,2,2,331,420
T1594,T1053,1,3,143,608
T1594,T1176,1,3,3,748
T1594,T1106,0,4,148,603
T1594,T1202,0,4,3,748
T1594,T1091,0,4,22,729
T1594,T1005,2,2,159,592
T1594,T1140,2,2,216,535
T1594,T1562,2,2,95,656
T1594,T1195,1,3,10,741
T1594,T1190,1,3,27,724
T1594,T1558,0,4,10,741
T1594,T1555,2,2,85,666
T1594,T1567,1,3,27,724
T1594,T1219,2,2,16,735
T1594,T1036,2,2,214,537
T1594,T1552,1,3,40,711
T1594,T1055,1,3,138,613
T1594,T1205,0,4,9,742
T1594,T1218,2,2,129,622
T1594,T1620,0,4,10,741
T1594,T1611,0,4,5,746
T1594,T1010,0,4,29,722
T1594,T1029,0,4,17,734
T1594,T1525,0,4,0,751
T1594,T1572,0,4,18,733
T1594,T1550,1,3,19,732
T1594,T1011,0,4,1,750
T1594,T1589,4,0,13,738
T1594,T1560,1,3,119,632
T1594,T1185,0,4,11,740
T1594,T1021,2,2,84,667
T1594,T1596,0,4,0,751
T1594,T1207,0,4,1,750
T1594,T1610,0,4,4,747
T1594,T1112,1,3,131,620
T1594,T1580,0,4,0,751
T1594,T1491,1,3,4,747
T1594,T1535,0,4,0,751
T1594,T1563,0,4,2,749
T1594,T1217,0,4,12,739
T1594,T1092,0,4,3,748
T1594,T1222,0,4,19,732
T1594,T1595,1,3,8,743
T1594,T1548,0,4,54,697
T1594,T1125,0,4,31,720
T1594,T1016,2,2,225,526
T1594,T1087,1,3,80,671
T1594,T1090,1,3,91,660
T1594,T1059,2,2,426,325
T1594,T1482,0,4,14,737
T1594,T1020,0,4,20,731
T1594,T1070,2,2,267,484
T1594,T1609,0,4,5,746
T1594,T1083,2,2,271,480
T1594,T1568,0,4,39,712
T1594,T1647,0,4,1,750
T1594,T1074,1,3,90,661
T1594,T1649,0,4,3,748
T1594,T1049,1,3,78,673
T1594,T1584,2,2,12,739
T1594,T1542,0,4,14,737
T1594,T1612,0,4,0,751
T1594,T1586,1,3,6,745
T1594,T1497,0,4,85,666
T1594,T1102,3,1,86,665
T1594,T1608,3,1,14,737
T1594,T1104,0,4,9,742
T1594,T1480,0,4,16,735
T1594,T1619,0,4,1,750
T1594,T1528,0,4,3,748
T1594,T1204,3,1,153,598
T1594,T1057,1,3,233,518
T1594,T1072,0,4,4,747
T1594,T1041,2,2,129,622
T1594,T1591,2,2,4,747
T1594,T1606,0,4,2,749
T1594,T1621,0,4,2,749
T1594,T1554,0,4,7,744
T1594,T1212,0,4,0,751
T1594,T1590,1,3,3,748
T1594,T1210,0,4,23,728
T1594,T1534,1,3,4,747
T1594,T1199,1,3,7,744
T1594,T1593,3,1,2,749
T1594,T1098,2,2,16,735
T1594,T1048,0,4,34,717
T1594,T1597,1,3,1,750
T1594,T1566,3,1,127,624
T1594,T1110,2,2,38,713
T1594,T1565,0,4,5,746
T1594,T1559,0,4,31,720
T1594,T1001,0,4,40,711
T1594,T1039,0,4,11,740
T1594,T1601,0,4,1,750
T1594,T1574,0,4,80,671
T1594,T1078,3,1,58,693
T1594,T1571,1,3,36,715
T1594,T1068,0,4,31,720
T1594,T1531,0,4,4,747
T1594,T1027,2,2,363,388
T1594,T1201,0,4,8,743
T1594,T1546,1,3,47,704
T1594,T1187,0,4,3,748
T1594,T1599,0,4,0,751
T1594,T1486,0,4,42,709
T1594,T1553,1,3,68,683
T1594,T1573,0,4,181,570
T1594,T1056,2,2,143,608
T1594,T1203,2,2,46,705
T1594,T1570,1,3,22,729
T1594,T1095,0,4,62,689
T1594,T1012,1,3,95,656
T1594,T1030,0,4,14,737
T1594,T1499,1,3,3,748
T1594,T1614,0,4,30,721
T1594,T1197,0,4,12,739
T1594,T1132,1,3,101,650
T1594,T1598,3,1,10,741
T1594,T1496,0,4,12,739
T1594,T1585,4,0,10,741
T1594,T1588,3,1,59,692
T1594,T1569,0,4,58,693
T1594,T1213,0,4,10,741
T1594,T1200,0,4,1,750
T1594,T1505,2,2,30,721
T1594,T1485,1,3,22,729
T1594,T1537,0,4,0,751
T1594,T1189,0,4,34,717
T1594,T1498,0,4,2,749
T1594,T1221,0,4,10,741
T1594,T1134,0,4,40,711
T1594,T1111,1,3,3,748
T1594,T1136,2,2,29,722
T1594,T1526,0,4,2,749
T1594,T1018,1,3,68,683
T1594,T1046,0,4,48,703
T1594,T1518,1,3,118,633
T1594,T1538,0,4,0,751
T1594,T1622,0,4,5,746
T1594,T1052,0,4,7,744
T1594,T1105,2,2,395,356
T1594,T1648,0,4,0,751
T1594,T1484,0,4,7,744
T1594,T1220,0,4,4,747
T1594,T1587,2,2,12,739
T1594,T1008,0,4,48,703
T1594,T1124,0,4,68,683
T1594,T1556,0,4,11,740
T1594,T1495,0,4,2,749
T1594,T1490,0,4,29,722
T1594,T1216,0,4,1,750
T1594,T1211,0,4,1,750
T1594,T1127,0,4,2,749
T1594,T1529,0,4,13,738
T1561,T1615,0,12,4,739
T1561,T1025,0,12,22,721
T1561,T1547,2,10,237,506
T1561,T1600,0,12,0,743
T1561,T1489,4,8,24,719
T1561,T1564,1,11,99,644
T1561,T1080,0,12,10,733
T1561,T1137,0,12,10,733
T1561,T1119,0,12,50,693
T1561,T1115,1,11,32,711
T1561,T1007,0,12,56,687
T1561,T1040,1,11,14,729
T1561,T1530,0,12,2,741
T1561,T1135,2,10,46,697
T1561,T1120,1,11,42,701
T1561,T1082,10,2,320,423
T1561,T1071,6,6,327,416
T1561,T1053,5,7,139,604
T1561,T1176,0,12,4,739
T1561,T1106,8,4,140,603
T1561,T1202,1,11,2,741
T1561,T1091,0,12,22,721
T1561,T1005,4,8,157,586
T1561,T1140,6,6,212,531
T1561,T1562,6,6,91,652
T1561,T1195,1,11,10,733
T1561,T1190,0,12,28,715
T1561,T1558,0,12,10,733
T1561,T1555,2,10,85,658
T1561,T1567,1,11,27,716
T1561,T1219,1,11,17,726
T1561,T1036,7,5,209,534
T1561,T1552,0,12,41,702
T1561,T1055,5,7,134,609
T1561,T1205,0,12,9,734
T1561,T1218,5,7,126,617
T1561,T1620,1,11,9,734
T1561,T1611,0,12,5,738
T1561,T1010,1,11,28,715
T1561,T1029,0,12,17,726
T1561,T1525,0,12,0,743
T1561,T1572,0,12,18,725
T1561,T1550,0,12,20,723
T1561,T1011,0,12,1,742
T1561,T1589,2,10,15,728
T1561,T1560,1,11,119,624
T1561,T1185,0,12,11,732
T1561,T1021,3,9,83,660
T1561,T1596,0,12,0,743
T1561,T1207,0,12,1,742
T1561,T1610,0,12,4,739
T1561,T1112,4,8,128,615
T1561,T1580,0,12,0,743
T1561,T1491,2,10,3,740
T1561,T1535,0,12,0,743
T1561,T1563,0,12,2,741
T1561,T1217,1,11,11,732
T1561,T1092,0,12,3,740
T1561,T1222,1,11,18,725
T1561,T1595,1,11,8,735
T1561,T1548,2,10,52,691
T1561,T1125,0,12,31,712
T1561,T1016,3,9,224,519
T1561,T1087,2,10,79,664
T1561,T1090,2,10,90,653
T1561,T1059,8,4,420,323
T1561,T1482,0,12,14,729
T1561,T1020,0,12,20,723
T1561,T1070,8,4,261,482
T1561,T1609,0,12,5,738
T1561,T1083,8,4,265,478
T1561,T1568,0,12,39,704
T1561,T1647,0,12,1,742
T1561,T1074,1,11,90,653
T1561,T1649,0,12,3,740
T1561,T1049,3,9,76,667
T1561,T1584,2,10,12,731
T1561,T1542,2,10,12,731
T1561,T1612,0,12,0,743
T1561,T1586,0,12,7,736
T1561,T1497,5,7,80,663
T1561,T1102,4,8,85,658
T1561,T1608,1,11,16,727
T1561,T1104,1,11,8,735
T1561,T1480,0,12,16,727
T1561,T1619,0,12,1,742
T1561,T1528,0,12,3,740
T1561,T1204,4,8,152,591
T1561,T1057,5,7,229,514
T1561,T1072,0,12,4,739
T1561,T1041,2,10,129,614
T1561,T1591,2,10,4,739
T1561,T1606,0,12,2,741
T1561,T1621,0,12,2,741
T1561,T1554,0,12,7,736
T1561,T1212,0,12,0,743
T1561,T1590,1,11,3,740
T1561,T1210,0,12,23,720
T1561,T1534,1,11,4,739
T1561,T1199,1,11,7,736
T1561,T1593,2,10,3,740
T1561,T1098,2,10,16,727
T1561,T1048,1,11,33,710
T1561,T1597,0,12,2,741
T1561,T1566,4,8,126,617
T1561,T1110,3,9,37,706
T1561,T1565,1,11,4,739
T1561,T1559,1,11,30,713
T1561,T1001,1,11,39,704
T1561,T1039,0,12,11,732
T1561,T1601,0,12,1,742
T1561,T1574,1,11,79,664
T1561,T1078,3,9,58,685
T1561,T1571,2,10,35,708
T1561,T1068,0,12,31,712
T1561,T1531,1,11,3,740
T1561,T1027,9,3,356,387
T1561,T1201,0,12,8,735
T1561,T1546,0,12,48,695
T1561,T1187,0,12,3,740
T1561,T1599,0,12,0,743
T1561,T1486,4,8,38,705
T1561,T1553,2,10,67,676
T1561,T1573,1,11,180,563
T1561,T1056,3,9,142,601
T1561,T1203,3,9,45,698
T1561,T1570,2,10,21,722
T1561,T1095,0,12,62,681
T1561,T1012,3,9,93,650
T1561,T1030,0,12,14,729
T1561,T1499,1,11,3,740
T1561,T1614,1,11,29,714
T1561,T1197,0,12,12,731
T1561,T1132,2,10,100,643
T1561,T1598,1,11,12,731
T1561,T1496,0,12,12,731
T1561,T1585,2,10,12,731
T1561,T1588,4,8,58,685
T1561,T1569,4,8,54,689
T1561,T1213,0,12,10,733
T1561,T1200,0,12,1,742
T1561,T1505,2,10,30,713
T1561,T1485,10,2,13,730
T1561,T1537,0,12,0,743
T1561,T1189,3,9,31,712
T1561,T1498,0,12,2,741
T1561,T1221,1,11,9,734
T1561,T1134,6,6,34,709
T1561,T1111,0,12,4,739
T1561,T1136,1,11,30,713
T1561,T1526,0,12,2,741
T1561,T1018,2,10,67,676
T1561,T1046,1,11,47,696
T1561,T1518,3,9,116,627
T1561,T1538,0,12,0,743
T1561,T1622,0,12,5,738
T1561,T1052,0,12,7,736
T1561,T1105,7,5,390,353
T1561,T1648,0,12,0,743
T1561,T1484,1,11,6,737
T1561,T1220,1,11,3,740
